Using device: cuda
Epoch [1/100] | Train Loss: 2.2243, Train Acc: 18.84% | Test Loss: 2.1302, Test Acc: 24.88% | Best Acc: 24.88%
Epoch [2/100] | Train Loss: 2.0728, Train Acc: 27.31% | Test Loss: 1.9960, Test Acc: 28.82% | Best Acc: 28.82%
Epoch [3/100] | Train Loss: 1.9667, Train Acc: 30.60% | Test Loss: 1.9043, Test Acc: 32.01% | Best Acc: 32.01%
Epoch [4/100] | Train Loss: 1.8884, Train Acc: 32.78% | Test Loss: 1.8317, Test Acc: 33.84% | Best Acc: 33.84%
Epoch [5/100] | Train Loss: 1.8255, Train Acc: 34.50% | Test Loss: 1.7707, Test Acc: 35.88% | Best Acc: 35.88%
Epoch [6/100] | Train Loss: 1.7691, Train Acc: 36.40% | Test Loss: 1.7207, Test Acc: 37.14% | Best Acc: 37.14%
Epoch [7/100] | Train Loss: 1.7176, Train Acc: 38.07% | Test Loss: 1.6783, Test Acc: 38.14% | Best Acc: 38.14%
Epoch [8/100] | Train Loss: 1.6744, Train Acc: 39.57% | Test Loss: 1.6314, Test Acc: 39.77% | Best Acc: 39.77%
Epoch [9/100] | Train Loss: 1.6358, Train Acc: 40.73% | Test Loss: 1.5975, Test Acc: 40.98% | Best Acc: 40.98%
Epoch [10/100] | Train Loss: 1.5997, Train Acc: 42.13% | Test Loss: 1.5748, Test Acc: 41.45% | Best Acc: 41.45%
Epoch [11/100] | Train Loss: 1.5664, Train Acc: 43.31% | Test Loss: 1.5311, Test Acc: 43.78% | Best Acc: 43.78%
Epoch [12/100] | Train Loss: 1.5337, Train Acc: 44.76% | Test Loss: 1.5080, Test Acc: 44.92% | Best Acc: 44.92%
Epoch [13/100] | Train Loss: 1.5026, Train Acc: 45.81% | Test Loss: 1.5157, Test Acc: 43.49% | Best Acc: 44.92%
Epoch [14/100] | Train Loss: 1.4741, Train Acc: 46.89% | Test Loss: 1.5918, Test Acc: 41.90% | Best Acc: 44.92%
Epoch [15/100] | Train Loss: 1.4464, Train Acc: 47.87% | Test Loss: 1.4294, Test Acc: 47.13% | Best Acc: 47.13%
Epoch [16/100] | Train Loss: 1.4202, Train Acc: 49.09% | Test Loss: 1.5260, Test Acc: 45.94% | Best Acc: 47.13%
Epoch [17/100] | Train Loss: 1.3950, Train Acc: 50.30% | Test Loss: 1.6302, Test Acc: 43.52% | Best Acc: 47.13%
Epoch [18/100] | Train Loss: 1.3727, Train Acc: 50.89% | Test Loss: 1.5049, Test Acc: 45.03% | Best Acc: 47.13%
Epoch [19/100] | Train Loss: 1.3502, Train Acc: 51.65% | Test Loss: 1.5054, Test Acc: 47.26% | Best Acc: 47.26%
Epoch [20/100] | Train Loss: 1.3286, Train Acc: 52.48% | Test Loss: 1.3555, Test Acc: 50.09% | Best Acc: 50.09%
Epoch [21/100] | Train Loss: 1.3083, Train Acc: 53.29% | Test Loss: 1.4044, Test Acc: 49.27% | Best Acc: 50.09%
Epoch [22/100] | Train Loss: 1.2892, Train Acc: 53.88% | Test Loss: 1.3754, Test Acc: 47.96% | Best Acc: 50.09%
Epoch [23/100] | Train Loss: 1.2706, Train Acc: 54.58% | Test Loss: 1.6874, Test Acc: 39.59% | Best Acc: 50.09%
Epoch [24/100] | Train Loss: 1.2536, Train Acc: 55.22% | Test Loss: 1.2338, Test Acc: 54.79% | Best Acc: 54.79%
Epoch [25/100] | Train Loss: 1.2360, Train Acc: 56.04% | Test Loss: 1.4338, Test Acc: 48.87% | Best Acc: 54.79%
Epoch [26/100] | Train Loss: 1.2180, Train Acc: 56.44% | Test Loss: 1.3506, Test Acc: 51.86% | Best Acc: 54.79%
Epoch [27/100] | Train Loss: 1.2045, Train Acc: 57.25% | Test Loss: 1.2543, Test Acc: 53.74% | Best Acc: 54.79%
Epoch [28/100] | Train Loss: 1.1858, Train Acc: 57.84% | Test Loss: 1.4464, Test Acc: 49.20% | Best Acc: 54.79%
Epoch [29/100] | Train Loss: 1.1718, Train Acc: 58.20% | Test Loss: 1.4116, Test Acc: 49.10% | Best Acc: 54.79%
Epoch [30/100] | Train Loss: 1.1610, Train Acc: 58.86% | Test Loss: 1.3883, Test Acc: 51.08% | Best Acc: 54.79%
Epoch [31/100] | Train Loss: 1.1452, Train Acc: 59.40% | Test Loss: 1.3909, Test Acc: 51.59% | Best Acc: 54.79%
Epoch [32/100] | Train Loss: 1.1316, Train Acc: 59.96% | Test Loss: 1.4023, Test Acc: 51.33% | Best Acc: 54.79%
Epoch [33/100] | Train Loss: 1.1171, Train Acc: 60.26% | Test Loss: 1.3708, Test Acc: 50.76% | Best Acc: 54.79%
Epoch [34/100] | Train Loss: 1.1065, Train Acc: 60.63% | Test Loss: 1.2335, Test Acc: 56.11% | Best Acc: 56.11%
Epoch [35/100] | Train Loss: 1.0963, Train Acc: 60.93% | Test Loss: 1.3896, Test Acc: 48.74% | Best Acc: 56.11%
Epoch [36/100] | Train Loss: 1.0820, Train Acc: 61.46% | Test Loss: 1.1986, Test Acc: 56.65% | Best Acc: 56.65%
Epoch [37/100] | Train Loss: 1.0728, Train Acc: 61.94% | Test Loss: 1.3321, Test Acc: 53.23% | Best Acc: 56.65%
Epoch [38/100] | Train Loss: 1.0631, Train Acc: 62.21% | Test Loss: 1.1217, Test Acc: 59.79% | Best Acc: 59.79%
Epoch [39/100] | Train Loss: 1.0529, Train Acc: 62.67% | Test Loss: 1.1231, Test Acc: 59.45% | Best Acc: 59.79%
Epoch [40/100] | Train Loss: 1.0427, Train Acc: 62.87% | Test Loss: 1.2196, Test Acc: 56.04% | Best Acc: 59.79%
Epoch [41/100] | Train Loss: 1.0357, Train Acc: 63.25% | Test Loss: 1.2846, Test Acc: 55.92% | Best Acc: 59.79%
Epoch [42/100] | Train Loss: 1.0258, Train Acc: 63.53% | Test Loss: 1.0577, Test Acc: 61.96% | Best Acc: 61.96%
Epoch [43/100] | Train Loss: 1.0174, Train Acc: 63.88% | Test Loss: 1.2152, Test Acc: 57.49% | Best Acc: 61.96%
Epoch [44/100] | Train Loss: 1.0079, Train Acc: 64.35% | Test Loss: 1.0679, Test Acc: 61.12% | Best Acc: 61.96%
Epoch [45/100] | Train Loss: 1.0005, Train Acc: 64.51% | Test Loss: 1.2876, Test Acc: 56.63% | Best Acc: 61.96%
Epoch [46/100] | Train Loss: 0.9929, Train Acc: 64.71% | Test Loss: 1.4189, Test Acc: 51.23% | Best Acc: 61.96%
Epoch [47/100] | Train Loss: 0.9885, Train Acc: 65.14% | Test Loss: 1.0123, Test Acc: 63.62% | Best Acc: 63.62%
Epoch [48/100] | Train Loss: 0.9783, Train Acc: 65.38% | Test Loss: 1.0514, Test Acc: 62.41% | Best Acc: 63.62%
Epoch [49/100] | Train Loss: 0.9711, Train Acc: 65.57% | Test Loss: 1.0245, Test Acc: 63.42% | Best Acc: 63.62%
Epoch [50/100] | Train Loss: 0.9636, Train Acc: 65.88% | Test Loss: 1.1688, Test Acc: 58.67% | Best Acc: 63.62%
Epoch [51/100] | Train Loss: 0.9580, Train Acc: 66.07% | Test Loss: 1.1262, Test Acc: 60.18% | Best Acc: 63.62%
Epoch [52/100] | Train Loss: 0.9519, Train Acc: 66.31% | Test Loss: 1.1368, Test Acc: 59.59% | Best Acc: 63.62%
Epoch [53/100] | Train Loss: 0.9490, Train Acc: 66.28% | Test Loss: 1.1400, Test Acc: 59.41% | Best Acc: 63.62%
Epoch [54/100] | Train Loss: 0.9406, Train Acc: 66.74% | Test Loss: 1.0684, Test Acc: 62.22% | Best Acc: 63.62%
Epoch [55/100] | Train Loss: 0.9390, Train Acc: 66.71% | Test Loss: 1.0747, Test Acc: 61.56% | Best Acc: 63.62%
Epoch [56/100] | Train Loss: 0.9321, Train Acc: 66.99% | Test Loss: 0.9659, Test Acc: 65.32% | Best Acc: 65.32%
Epoch [57/100] | Train Loss: 0.9286, Train Acc: 67.24% | Test Loss: 0.9631, Test Acc: 65.93% | Best Acc: 65.93%
Epoch [58/100] | Train Loss: 0.9253, Train Acc: 67.34% | Test Loss: 1.0915, Test Acc: 61.29% | Best Acc: 65.93%
Epoch [59/100] | Train Loss: 0.9166, Train Acc: 67.53% | Test Loss: 1.0498, Test Acc: 62.81% | Best Acc: 65.93%
Epoch [60/100] | Train Loss: 0.9130, Train Acc: 67.75% | Test Loss: 1.1634, Test Acc: 60.21% | Best Acc: 65.93%
Epoch [61/100] | Train Loss: 0.9099, Train Acc: 67.73% | Test Loss: 1.0266, Test Acc: 63.75% | Best Acc: 65.93%
Epoch [62/100] | Train Loss: 0.9056, Train Acc: 67.92% | Test Loss: 0.9883, Test Acc: 64.61% | Best Acc: 65.93%
Epoch [63/100] | Train Loss: 0.9008, Train Acc: 67.99% | Test Loss: 0.9942, Test Acc: 65.05% | Best Acc: 65.93%
Epoch [64/100] | Train Loss: 0.9005, Train Acc: 68.07% | Test Loss: 0.9818, Test Acc: 65.32% | Best Acc: 65.93%
Epoch [65/100] | Train Loss: 0.8955, Train Acc: 68.16% | Test Loss: 0.9797, Test Acc: 65.29% | Best Acc: 65.93%
Epoch [66/100] | Train Loss: 0.8934, Train Acc: 68.42% | Test Loss: 0.9884, Test Acc: 65.48% | Best Acc: 65.93%
Epoch [67/100] | Train Loss: 0.8905, Train Acc: 68.70% | Test Loss: 0.9510, Test Acc: 66.14% | Best Acc: 66.14%
Epoch [68/100] | Train Loss: 0.8861, Train Acc: 68.63% | Test Loss: 0.9369, Test Acc: 66.65% | Best Acc: 66.65%
Epoch [69/100] | Train Loss: 0.8849, Train Acc: 68.68% | Test Loss: 0.9233, Test Acc: 66.90% | Best Acc: 66.90%
Epoch [70/100] | Train Loss: 0.8811, Train Acc: 68.80% | Test Loss: 0.9225, Test Acc: 67.05% | Best Acc: 67.05%
Epoch [71/100] | Train Loss: 0.8806, Train Acc: 68.76% | Test Loss: 0.9036, Test Acc: 67.74% | Best Acc: 67.74%
Epoch [72/100] | Train Loss: 0.8758, Train Acc: 69.25% | Test Loss: 0.9855, Test Acc: 64.87% | Best Acc: 67.74%
Epoch [73/100] | Train Loss: 0.8757, Train Acc: 69.02% | Test Loss: 0.9150, Test Acc: 67.15% | Best Acc: 67.74%
Epoch [74/100] | Train Loss: 0.8731, Train Acc: 69.07% | Test Loss: 0.9319, Test Acc: 66.60% | Best Acc: 67.74%
Epoch [75/100] | Train Loss: 0.8714, Train Acc: 69.23% | Test Loss: 0.9095, Test Acc: 67.62% | Best Acc: 67.74%
Epoch [76/100] | Train Loss: 0.8696, Train Acc: 69.21% | Test Loss: 0.9027, Test Acc: 67.85% | Best Acc: 67.85%
Epoch [77/100] | Train Loss: 0.8704, Train Acc: 69.02% | Test Loss: 0.9081, Test Acc: 67.51% | Best Acc: 67.85%
Epoch [78/100] | Train Loss: 0.8676, Train Acc: 69.20% | Test Loss: 0.8908, Test Acc: 68.29% | Best Acc: 68.29%
Epoch [79/100] | Train Loss: 0.8631, Train Acc: 69.43% | Test Loss: 0.9075, Test Acc: 67.79% | Best Acc: 68.29%
Epoch [80/100] | Train Loss: 0.8641, Train Acc: 69.40% | Test Loss: 0.9040, Test Acc: 67.87% | Best Acc: 68.29%
Epoch [81/100] | Train Loss: 0.8631, Train Acc: 69.45% | Test Loss: 0.9374, Test Acc: 66.72% | Best Acc: 68.29%
Epoch [82/100] | Train Loss: 0.8630, Train Acc: 69.47% | Test Loss: 0.8852, Test Acc: 68.46% | Best Acc: 68.46%
Epoch [83/100] | Train Loss: 0.8619, Train Acc: 69.69% | Test Loss: 0.8845, Test Acc: 68.54% | Best Acc: 68.54%
Epoch [84/100] | Train Loss: 0.8607, Train Acc: 69.37% | Test Loss: 0.8947, Test Acc: 68.25% | Best Acc: 68.54%
Epoch [85/100] | Train Loss: 0.8602, Train Acc: 69.57% | Test Loss: 0.8903, Test Acc: 68.17% | Best Acc: 68.54%
Epoch [86/100] | Train Loss: 0.8596, Train Acc: 69.73% | Test Loss: 0.8859, Test Acc: 68.52% | Best Acc: 68.54%
Epoch [87/100] | Train Loss: 0.8562, Train Acc: 69.83% | Test Loss: 0.8827, Test Acc: 68.42% | Best Acc: 68.54%
Epoch [88/100] | Train Loss: 0.8574, Train Acc: 69.75% | Test Loss: 0.8900, Test Acc: 68.33% | Best Acc: 68.54%
Epoch [89/100] | Train Loss: 0.8556, Train Acc: 69.79% | Test Loss: 0.8829, Test Acc: 68.52% | Best Acc: 68.54%
Epoch [90/100] | Train Loss: 0.8568, Train Acc: 69.87% | Test Loss: 0.8823, Test Acc: 68.63% | Best Acc: 68.63%
Epoch [91/100] | Train Loss: 0.8567, Train Acc: 69.69% | Test Loss: 0.8786, Test Acc: 68.63% | Best Acc: 68.63%
Epoch [92/100] | Train Loss: 0.8537, Train Acc: 69.88% | Test Loss: 0.8833, Test Acc: 68.60% | Best Acc: 68.63%
Epoch [93/100] | Train Loss: 0.8537, Train Acc: 69.84% | Test Loss: 0.8819, Test Acc: 68.68% | Best Acc: 68.68%
Epoch [94/100] | Train Loss: 0.8532, Train Acc: 69.89% | Test Loss: 0.8796, Test Acc: 68.70% | Best Acc: 68.70%
