Using device: cuda
Epoch [1/100] | Train Loss: 2.3217, Train Acc: 10.28% | Test Loss: 2.3070, Test Acc: 9.47% | Best Acc: 0.00%
Epoch [2/100] | Train Loss: 2.3046, Train Acc: 10.98% | Test Loss: 2.2908, Test Acc: 11.60% | Best Acc: 0.00%
Epoch [3/100] | Train Loss: 2.2890, Train Acc: 11.84% | Test Loss: 2.2755, Test Acc: 12.76% | Best Acc: 0.00%
Epoch [4/100] | Train Loss: 2.2744, Train Acc: 12.90% | Test Loss: 2.2611, Test Acc: 14.21% | Best Acc: 0.00%
Epoch [5/100] | Train Loss: 2.2612, Train Acc: 14.39% | Test Loss: 2.2476, Test Acc: 16.08% | Best Acc: 0.00%
Epoch [6/100] | Train Loss: 2.2489, Train Acc: 16.00% | Test Loss: 2.2349, Test Acc: 17.62% | Best Acc: 0.00%
Epoch [7/100] | Train Loss: 2.2370, Train Acc: 17.68% | Test Loss: 2.2227, Test Acc: 19.32% | Best Acc: 0.00%
Epoch [8/100] | Train Loss: 2.2257, Train Acc: 19.42% | Test Loss: 2.2114, Test Acc: 20.59% | Best Acc: 0.00%
Epoch [9/100] | Train Loss: 2.2151, Train Acc: 20.61% | Test Loss: 2.2001, Test Acc: 21.58% | Best Acc: 0.00%
Epoch [10/100] | Train Loss: 2.2041, Train Acc: 21.79% | Test Loss: 2.1888, Test Acc: 22.15% | Best Acc: 0.00%
Epoch [11/100] | Train Loss: 2.1942, Train Acc: 22.16% | Test Loss: 2.1784, Test Acc: 22.55% | Best Acc: 0.00%
Epoch [12/100] | Train Loss: 2.1839, Train Acc: 23.15% | Test Loss: 2.1682, Test Acc: 23.23% | Best Acc: 0.00%
Epoch [13/100] | Train Loss: 2.1739, Train Acc: 23.48% | Test Loss: 2.1581, Test Acc: 23.16% | Best Acc: 0.00%
Epoch [14/100] | Train Loss: 2.1650, Train Acc: 23.94% | Test Loss: 2.1488, Test Acc: 23.23% | Best Acc: 0.00%
Epoch [15/100] | Train Loss: 2.1560, Train Acc: 24.18% | Test Loss: 2.1390, Test Acc: 23.35% | Best Acc: 0.00%
Epoch [16/100] | Train Loss: 2.1460, Train Acc: 24.43% | Test Loss: 2.1290, Test Acc: 23.39% | Best Acc: 0.00%
Epoch [17/100] | Train Loss: 2.1378, Train Acc: 24.36% | Test Loss: 2.1209, Test Acc: 23.77% | Best Acc: 0.00%
Epoch [18/100] | Train Loss: 2.1290, Train Acc: 24.81% | Test Loss: 2.1124, Test Acc: 23.98% | Best Acc: 0.00%
Epoch [19/100] | Train Loss: 2.1204, Train Acc: 24.80% | Test Loss: 2.1036, Test Acc: 24.12% | Best Acc: 0.00%
Epoch [20/100] | Train Loss: 2.1121, Train Acc: 25.09% | Test Loss: 2.0955, Test Acc: 24.10% | Best Acc: 0.00%
Epoch [21/100] | Train Loss: 2.1038, Train Acc: 25.31% | Test Loss: 2.0870, Test Acc: 24.27% | Best Acc: 0.00%
Epoch [22/100] | Train Loss: 2.0964, Train Acc: 25.19% | Test Loss: 2.0792, Test Acc: 24.21% | Best Acc: 0.00%
Epoch [23/100] | Train Loss: 2.0889, Train Acc: 25.59% | Test Loss: 2.0721, Test Acc: 24.33% | Best Acc: 0.00%
Epoch [24/100] | Train Loss: 2.0814, Train Acc: 25.62% | Test Loss: 2.0649, Test Acc: 24.51% | Best Acc: 0.00%
Epoch [25/100] | Train Loss: 2.0738, Train Acc: 25.88% | Test Loss: 2.0574, Test Acc: 24.85% | Best Acc: 0.00%
Epoch [26/100] | Train Loss: 2.0672, Train Acc: 25.98% | Test Loss: 2.0513, Test Acc: 25.02% | Best Acc: 0.00%
Epoch [27/100] | Train Loss: 2.0597, Train Acc: 26.36% | Test Loss: 2.0443, Test Acc: 25.19% | Best Acc: 0.00%
Epoch [28/100] | Train Loss: 2.0544, Train Acc: 26.26% | Test Loss: 2.0376, Test Acc: 25.32% | Best Acc: 0.00%
Epoch [29/100] | Train Loss: 2.0473, Train Acc: 26.60% | Test Loss: 2.0318, Test Acc: 25.63% | Best Acc: 0.00%
Epoch [30/100] | Train Loss: 2.0414, Train Acc: 26.62% | Test Loss: 2.0254, Test Acc: 25.89% | Best Acc: 0.00%
Epoch [31/100] | Train Loss: 2.0347, Train Acc: 26.72% | Test Loss: 2.0200, Test Acc: 26.04% | Best Acc: 0.00%
Epoch [32/100] | Train Loss: 2.0294, Train Acc: 26.90% | Test Loss: 2.0153, Test Acc: 26.12% | Best Acc: 0.00%
Epoch [33/100] | Train Loss: 2.0239, Train Acc: 27.22% | Test Loss: 2.0085, Test Acc: 26.36% | Best Acc: 0.00%
Epoch [34/100] | Train Loss: 2.0186, Train Acc: 27.40% | Test Loss: 2.0044, Test Acc: 26.51% | Best Acc: 0.00%
Epoch [35/100] | Train Loss: 2.0129, Train Acc: 27.70% | Test Loss: 1.9983, Test Acc: 26.82% | Best Acc: 0.00%
Epoch [36/100] | Train Loss: 2.0083, Train Acc: 27.98% | Test Loss: 1.9940, Test Acc: 27.05% | Best Acc: 0.00%
Epoch [37/100] | Train Loss: 2.0035, Train Acc: 27.73% | Test Loss: 1.9890, Test Acc: 27.30% | Best Acc: 0.00%
Epoch [38/100] | Train Loss: 1.9995, Train Acc: 27.97% | Test Loss: 1.9848, Test Acc: 27.49% | Best Acc: 0.00%
Epoch [39/100] | Train Loss: 1.9937, Train Acc: 28.41% | Test Loss: 1.9797, Test Acc: 27.71% | Best Acc: 0.00%
Epoch [40/100] | Train Loss: 1.9895, Train Acc: 28.46% | Test Loss: 1.9754, Test Acc: 27.84% | Best Acc: 0.00%
Epoch [41/100] | Train Loss: 1.9854, Train Acc: 28.54% | Test Loss: 1.9713, Test Acc: 27.88% | Best Acc: 0.00%
Epoch [42/100] | Train Loss: 1.9810, Train Acc: 28.78% | Test Loss: 1.9672, Test Acc: 28.06% | Best Acc: 0.00%
Epoch [43/100] | Train Loss: 1.9778, Train Acc: 28.69% | Test Loss: 1.9635, Test Acc: 28.16% | Best Acc: 0.00%
Epoch [44/100] | Train Loss: 1.9736, Train Acc: 28.98% | Test Loss: 1.9603, Test Acc: 28.26% | Best Acc: 0.00%
Epoch [45/100] | Train Loss: 1.9704, Train Acc: 29.18% | Test Loss: 1.9562, Test Acc: 28.26% | Best Acc: 0.00%
Epoch [46/100] | Train Loss: 1.9668, Train Acc: 29.43% | Test Loss: 1.9533, Test Acc: 28.33% | Best Acc: 0.00%
Epoch [47/100] | Train Loss: 1.9627, Train Acc: 29.33% | Test Loss: 1.9489, Test Acc: 28.45% | Best Acc: 0.00%
Epoch [48/100] | Train Loss: 1.9591, Train Acc: 29.66% | Test Loss: 1.9454, Test Acc: 28.65% | Best Acc: 0.00%
Epoch [49/100] | Train Loss: 1.9559, Train Acc: 29.79% | Test Loss: 1.9432, Test Acc: 28.71% | Best Acc: 0.00%
Epoch [50/100] | Train Loss: 1.9526, Train Acc: 29.91% | Test Loss: 1.9405, Test Acc: 28.82% | Best Acc: 0.00%
Epoch [51/100] | Train Loss: 1.9504, Train Acc: 30.03% | Test Loss: 1.9369, Test Acc: 28.91% | Best Acc: 0.00%
Epoch [52/100] | Train Loss: 1.9474, Train Acc: 29.98% | Test Loss: 1.9345, Test Acc: 29.04% | Best Acc: 0.00%
Epoch [53/100] | Train Loss: 1.9450, Train Acc: 30.04% | Test Loss: 1.9318, Test Acc: 29.10% | Best Acc: 0.00%
Epoch [54/100] | Train Loss: 1.9422, Train Acc: 30.24% | Test Loss: 1.9296, Test Acc: 29.08% | Best Acc: 0.00%
Epoch [55/100] | Train Loss: 1.9395, Train Acc: 30.28% | Test Loss: 1.9262, Test Acc: 29.22% | Best Acc: 0.00%
Epoch [56/100] | Train Loss: 1.9367, Train Acc: 30.31% | Test Loss: 1.9240, Test Acc: 29.30% | Best Acc: 0.00%
Epoch [57/100] | Train Loss: 1.9344, Train Acc: 30.44% | Test Loss: 1.9224, Test Acc: 29.28% | Best Acc: 0.00%
Epoch [58/100] | Train Loss: 1.9326, Train Acc: 30.65% | Test Loss: 1.9201, Test Acc: 29.53% | Best Acc: 0.00%
Epoch [59/100] | Train Loss: 1.9298, Train Acc: 30.77% | Test Loss: 1.9178, Test Acc: 29.59% | Best Acc: 0.00%
Epoch [60/100] | Train Loss: 1.9270, Train Acc: 30.74% | Test Loss: 1.9157, Test Acc: 29.72% | Best Acc: 0.00%
Epoch [61/100] | Train Loss: 1.9258, Train Acc: 30.72% | Test Loss: 1.9135, Test Acc: 29.74% | Best Acc: 0.00%
Epoch [62/100] | Train Loss: 1.9240, Train Acc: 30.91% | Test Loss: 1.9120, Test Acc: 29.81% | Best Acc: 0.00%
Epoch [63/100] | Train Loss: 1.9230, Train Acc: 30.95% | Test Loss: 1.9097, Test Acc: 29.86% | Best Acc: 0.00%
Epoch [64/100] | Train Loss: 1.9207, Train Acc: 30.86% | Test Loss: 1.9102, Test Acc: 29.71% | Best Acc: 0.00%
Epoch [65/100] | Train Loss: 1.9189, Train Acc: 30.94% | Test Loss: 1.9065, Test Acc: 30.06% | Best Acc: 0.00%
Epoch [66/100] | Train Loss: 1.9173, Train Acc: 31.08% | Test Loss: 1.9054, Test Acc: 30.02% | Best Acc: 0.00%
Epoch [67/100] | Train Loss: 1.9149, Train Acc: 31.18% | Test Loss: 1.9037, Test Acc: 30.13% | Best Acc: 0.00%
Epoch [68/100] | Train Loss: 1.9148, Train Acc: 31.17% | Test Loss: 1.9031, Test Acc: 30.10% | Best Acc: 0.00%
Epoch [69/100] | Train Loss: 1.9135, Train Acc: 31.28% | Test Loss: 1.9017, Test Acc: 30.14% | Best Acc: 0.00%
Epoch [70/100] | Train Loss: 1.9126, Train Acc: 31.17% | Test Loss: 1.9001, Test Acc: 30.29% | Best Acc: 0.00%
Epoch [71/100] | Train Loss: 1.9112, Train Acc: 31.39% | Test Loss: 1.8987, Test Acc: 30.34% | Best Acc: 0.00%
Epoch [72/100] | Train Loss: 1.9103, Train Acc: 31.32% | Test Loss: 1.8977, Test Acc: 30.39% | Best Acc: 0.00%
Epoch [73/100] | Train Loss: 1.9093, Train Acc: 31.22% | Test Loss: 1.8962, Test Acc: 30.51% | Best Acc: 0.00%
Epoch [74/100] | Train Loss: 1.9074, Train Acc: 31.22% | Test Loss: 1.8974, Test Acc: 30.49% | Best Acc: 0.00%
Epoch [75/100] | Train Loss: 1.9067, Train Acc: 31.62% | Test Loss: 1.8953, Test Acc: 30.48% | Best Acc: 0.00%
Epoch [76/100] | Train Loss: 1.9063, Train Acc: 31.51% | Test Loss: 1.8949, Test Acc: 30.57% | Best Acc: 0.00%
Epoch [77/100] | Train Loss: 1.9050, Train Acc: 31.40% | Test Loss: 1.8931, Test Acc: 30.67% | Best Acc: 0.00%
Epoch [78/100] | Train Loss: 1.9047, Train Acc: 31.62% | Test Loss: 1.8934, Test Acc: 30.57% | Best Acc: 0.00%
Epoch [79/100] | Train Loss: 1.9047, Train Acc: 31.34% | Test Loss: 1.8918, Test Acc: 30.69% | Best Acc: 0.00%
