Using device: cuda
Epoch [1/100] | Train Loss: 2.0837, Train Acc: 22.32% | Test Loss: 2.3763, Test Acc: 18.78% | Best Acc: 0.00%
Epoch [2/100] | Train Loss: 1.8381, Train Acc: 30.33% | Test Loss: 1.7814, Test Acc: 32.41% | Best Acc: 0.00%
Epoch [3/100] | Train Loss: 1.7745, Train Acc: 33.17% | Test Loss: 2.2296, Test Acc: 20.83% | Best Acc: 0.00%
Epoch [4/100] | Train Loss: 1.6800, Train Acc: 37.16% | Test Loss: 1.9620, Test Acc: 28.78% | Best Acc: 0.00%
Epoch [5/100] | Train Loss: 1.6284, Train Acc: 40.14% | Test Loss: 1.6652, Test Acc: 38.17% | Best Acc: 0.00%
Epoch [6/100] | Train Loss: 1.6810, Train Acc: 38.28% | Test Loss: 3.3609, Test Acc: 13.89% | Best Acc: 0.00%
Epoch [7/100] | Train Loss: 1.7840, Train Acc: 34.50% | Test Loss: 2.1183, Test Acc: 25.51% | Best Acc: 0.00%
Epoch [8/100] | Train Loss: 1.6551, Train Acc: 38.39% | Test Loss: 1.8553, Test Acc: 31.60% | Best Acc: 0.00%
Epoch [9/100] | Train Loss: 1.5992, Train Acc: 40.72% | Test Loss: 1.5830, Test Acc: 40.37% | Best Acc: 0.00%
Epoch [10/100] | Train Loss: 1.5503, Train Acc: 42.63% | Test Loss: 1.7773, Test Acc: 38.62% | Best Acc: 0.00%
Epoch [11/100] | Train Loss: 1.5131, Train Acc: 44.21% | Test Loss: 1.6687, Test Acc: 39.19% | Best Acc: 0.00%
Epoch [12/100] | Train Loss: 1.4752, Train Acc: 45.66% | Test Loss: 2.4621, Test Acc: 27.21% | Best Acc: 0.00%
Epoch [13/100] | Train Loss: 2.4078, Train Acc: 46.35% | Test Loss: 34269172008589337855409520640.0000, Test Acc: 9.98% | Best Acc: 0.00%
Epoch [14/100] | Train Loss: nan, Train Acc: 9.96% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [15/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [16/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [17/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [18/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [19/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [20/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [21/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [22/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [23/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [24/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [25/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [26/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [27/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [28/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [29/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [30/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [31/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [32/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [33/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [34/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [35/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [36/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [37/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [38/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [39/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [40/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [41/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [42/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [43/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [44/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [45/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [46/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [47/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [48/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [49/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [50/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [51/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [52/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [53/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
Epoch [54/100] | Train Loss: nan, Train Acc: 10.00% | Test Loss: nan, Test Acc: 10.00% | Best Acc: 0.00%
