Using device: cuda
Epoch [1/100] | Train Loss: 1.4545, Train Acc: 46.14% | Test Loss: 2.1607, Test Acc: 36.78% | Best Acc: 36.78%
Epoch [2/100] | Train Loss: 1.0099, Train Acc: 63.64% | Test Loss: 1.3517, Test Acc: 56.29% | Best Acc: 56.29%
Epoch [3/100] | Train Loss: 0.8185, Train Acc: 71.07% | Test Loss: 1.2052, Test Acc: 60.10% | Best Acc: 60.10%
Epoch [4/100] | Train Loss: 0.7062, Train Acc: 75.35% | Test Loss: 1.3349, Test Acc: 61.62% | Best Acc: 61.62%
Epoch [5/100] | Train Loss: 0.6290, Train Acc: 78.16% | Test Loss: 1.4662, Test Acc: 54.41% | Best Acc: 61.62%
Epoch [6/100] | Train Loss: 0.5642, Train Acc: 80.29% | Test Loss: 1.2852, Test Acc: 59.73% | Best Acc: 61.62%
Epoch [7/100] | Train Loss: 0.5160, Train Acc: 82.17% | Test Loss: 0.8066, Test Acc: 73.25% | Best Acc: 73.25%
Epoch [8/100] | Train Loss: 0.4826, Train Acc: 83.42% | Test Loss: 0.7234, Test Acc: 76.82% | Best Acc: 76.82%
Epoch [9/100] | Train Loss: 0.4600, Train Acc: 84.21% | Test Loss: 0.8108, Test Acc: 72.89% | Best Acc: 76.82%
Epoch [10/100] | Train Loss: 0.4179, Train Acc: 85.45% | Test Loss: 0.6507, Test Acc: 77.74% | Best Acc: 77.74%
Epoch [11/100] | Train Loss: 0.3905, Train Acc: 86.63% | Test Loss: 0.6714, Test Acc: 77.74% | Best Acc: 77.74%
Epoch [12/100] | Train Loss: 0.3751, Train Acc: 87.03% | Test Loss: 0.8035, Test Acc: 74.73% | Best Acc: 77.74%
Epoch [13/100] | Train Loss: 0.3532, Train Acc: 87.83% | Test Loss: 0.7197, Test Acc: 76.87% | Best Acc: 77.74%
Epoch [14/100] | Train Loss: 0.3376, Train Acc: 88.41% | Test Loss: 0.6243, Test Acc: 79.04% | Best Acc: 79.04%
Epoch [15/100] | Train Loss: 0.3267, Train Acc: 88.76% | Test Loss: 0.8966, Test Acc: 71.88% | Best Acc: 79.04%
Epoch [16/100] | Train Loss: 0.3084, Train Acc: 89.42% | Test Loss: 0.6540, Test Acc: 79.06% | Best Acc: 79.06%
